file,brand,sku,name
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL72RTFEKIT-NG","The Outdoor Plus RTF 72 Inch Williams Outdoor See Thru Gas Fireplace - Electronic"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL72SS-NG","The Outdoor Plus 72 Inch Stainless Steel See Through Outdoor Gas Fireplace - Match Lit"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL84CSE12V-NG","The Outdoor Plus 84 Inch Corten Steel See Through Outdoor Gas Fireplace - Low Voltage Ignition"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL84CSEKIT-NG","The Outdoor Plus 84 Inch Corten Steel See Through Outdoor Gas Fireplace - Electronic Ignition"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL84PCFSEN-BLK-NG","The Outdoor Plus 84 Inch Williams See-Thru Outdoor Gas Fireplace - Flame Sense Spark Ignition"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL84PCFSML-BLK-NG","The Outdoor Plus 84 Inch Williams See-Thru Outdoor Gas Fireplace - Flame Sense Match Light"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL84RTFSCE12V-NG","The Outdoor Plus RTF 84 Inch Williams Outdoor See Thru Scupper Gas Fireplace - 12V Electronic"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL84SSFSML-NG","The Outdoor Plus 84 Inch Stainless Steel See Through Outdoor Gas Fireplace - Flame Sense Match Lit"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL96RTFE12V-NG","The Outdoor Plus RTF 96 Inch Williams Outdoor See Through Gas Fireplace - 12V Electronic"
"gas-fireplaces-scraped.json","The","TOP-OPT-BKY108RTF-NG","The Outdoor Plus RTF 108 Inch Berkeley Outdoor See Thru Gas Fireplace - Match Lit"
"gas-fireplaces-scraped.json","The","TOP-OPT-BKY84RTF-NG","The Outdoor Plus RTF 84 Inch Berkeley Outdoor See Thru Gas Fireplace - Match Lit"
"gas-fireplaces-scraped.json","The","TOP-OPT-BKY96RTFEKIT-NG","The Outdoor Plus RTF 96 Inch Berkeley Outdoor See Thru Gas Fireplace - Electronic"
"gas-fireplaces-scraped.json","The","TOP-OPT-HNT120RTFFSEN-NG","The Outdoor Plus RTF 120 Inch Huntington Outdoor Gas Fireplace - Flame Sense Spark"
"gas-fireplaces-scraped.json","The","TOP-OPT-HNT84RTFFSEN-NG","The Outdoor Plus RTF 84 Inch Huntington Outdoor Gas Fireplace - Flame Sense Spark"
"gas-fireplaces-scraped.json","The","TOP-OPT-HNT96RTFEKIT-NG","The Outdoor Plus RTF 96 Inch Huntington Outdoor Gas Fireplace - Electronic"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL72CSFSEN-NG","The Outdoor Plus 72 Inch Corten Steel See Through Outdoor Gas Fireplace - Spark Ignition"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL72RTFSCE12V-NG","The Outdoor Plus RTF 72 Inch Williams Outdoor See Thru Scupper Gas Fireplace - 12V Electronic"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL84CSFSEN-NG","The Outdoor Plus 84 Inch Corten Steel See Through Outdoor Gas Fireplace - Spark Ignition"
"gas-fireplaces-scraped.json","The","TOP-OPT-HNT108RTFFSEN-NG","The Outdoor Plus RTF 108 Inch Huntington Outdoor Gas Fireplace - Flame Sense Spark"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL96RTFFSML-NG","The Outdoor Plus RTF 96 Inch Williams Outdoor See Through Gas Fireplace - Flame Sense Match Lit"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL96RTFSCFSML-NG","The Outdoor Plus RTF 96 Inch Williams Outdoor See Thru Scupper Gas Fireplace - Flame Sense Match Lit"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL72PCE12V-BLK-NG","The Outdoor Plus 72 Inch Williams See-Thru Outdoor Gas Fireplace - 12V Electronic Ignition"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL72RTFFSEN-NG","The Outdoor Plus RTF 72 Inch Williams Outdoor See Thru Gas Fireplace - Flame Sense Spark"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL72RTFFSML-NG","The Outdoor Plus RTF 72 Inch Williams Outdoor See Thru Gas Fireplace - Flame Sense Match Lit"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL84CS-NG","The Outdoor Plus 84 Inch Corten Steel See Through Outdoor Gas Fireplace - Match Lit"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL84CSFSML-NG","The Outdoor Plus 84 Inch Corten Steel See Through Outdoor Gas Fireplace - Flame Sense Match Lit"
