file,id,sku,brand,name
"electric-fireplaces-scraped.json","","FRF-FLR-FP-EFX-SL-1000","Flamerite","Flamerite Fires 40 Inch E-FX 1000 Slim Line Built In Linear Electric Fireplace"
"electric-fireplaces-scraped.json","","DYN-DY-BTS60","Dynasty","Dynasty Fireplaces 64 Inch Melody Bay Front Smart Electric Fireplace with Corner Options"
"electric-fireplaces-scraped.json","","DYN-DY-BTS35","Dynasty","Dynasty Fireplaces 35 Inch Melody Bay Front Smart Electric Fireplace with Corner Options"
"electric-fireplaces-scraped.json","","FRF-FLR-FP-EFX-1300","Flamerite","Flamerite Fires 50 Inch E-FX 1300 Linear Bay Front Electric Fireplace with Corner Options"
"electric-fireplaces-scraped.json","","FRF-FLR-FP-SUITE-CAPELLA-WHITE","Flamerite","Flamerite Fires 45 Inch White Capella Suite Mantel with Slim Line 600 E-FX Electric Fireplace"
"electric-fireplaces-scraped.json","","FRF-FLR-FP-EFX-SL-750T","Flamerite","Flamerite Fires 30 Inch E-FX 750 Tall Slim Line Built In Electric Fireplace"
"electric-fireplaces-scraped.json","","JRH-EF-WM502","JR","JR Home 42 Inch Kennedy II Recessed or Wall Mounted Electric Fireplace"
"electric-fireplaces-scraped.json","","JRH-EF10262","JR","JR Home 48 Inch ActiveFlame Mirage 2 Built-In - Wall Mount - or Freestanding Electric Fireplace"
"electric-fireplaces-scraped.json","","FRF-FLR-FP-EFX-SL-750S","Flamerite","Flamerite Fires 30 Inch E-FX 750S Slim Line Built-In Linear Electric Fireplace"
"electric-fireplaces-scraped.json","","FRF-FLR-FP-EFX-1000","Flamerite","Flamerite Fires 40 Inch E-FX 1000 Linear Bay Front Electric Fireplace with Corner Options"
"electric-fireplaces-scraped.json","","JRH-EF10144","JR","JR Home 50 Inch Pro Series Recessed or Wall Mount Black Diamond Electric Fireplace"
"electric-fireplaces-scraped.json","","ORT-E-LECTRA40","Ortal","Ortal E-Lectra 40 Inch Traditional Electric Fireplace with Corner Options"
"electric-fireplaces-scraped.json","","ORT-E-LECTRA32","Ortal","Ortal E-Lectra 32 Inch Traditional Electric Fireplace with Corner Options"
"electric-fireplaces-scraped.json","","ORT-E-LECTRA70","Ortal","Ortal E-Lectra 70 Inch Traditional Electric Fireplace with Corner Options"
"electric-fireplaces-scraped.json","","ORT-US180TELXXXXXBXXX","Ortal","Ortal 74 Inch Holographic Linear Bay Front Electric Fireplace With Corner Options"
"electric-fireplaces-scraped.json","","SUS-SH-FP-SIG-40","Sustainable","Sustainable Hearth 40 Inch Signal Bay Front Linear Electric Fireplace with Corner Options"
"electric-fireplaces-scraped.json","","ORT-E-LECTRA60","Ortal","Ortal E-Lectra 60 Inch Traditional Electric Fireplace with Corner Options"
"electric-fireplaces-scraped.json","","FRF-FLR-FP-EFX-1500","Flamerite","Flamerite Fires 60 Inch E-FX 1500 Linear Bay Front Electric Fireplace with Corner Options"
"electric-fireplaces-scraped.json","","FRF-FLR-FP-EFX-1800","Flamerite","Flamerite Fires 72 Inch E-FX 1800 Linear Bay Front Electric Fireplace with Corner Options"
"electric-fireplaces-scraped.json","","FRF-FLR-FP-EFX-SL-600","Flamerite","Flamerite Fires 24 Inch E-FX 600 Slim Line Built In Electric Fireplace"
"electric-fireplaces-scraped.json","","LDH-ZEF68XC","Litedeer","Litedeer Homes 68 Inch Latitude II Push-In Linear Electric Fireplace with Fire Media"
"electric-fireplaces-scraped.json","","LDH-ZEF78V","Litedeer","Litedeer Homes Latitude II 78 Inch Seamless Push-in Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","LDH-ZEF65XC","Litedeer","Litedeer Homes 65 Inch Latitude Built-In Linear Electric Fireplace with Fire Media"
"electric-fireplaces-scraped.json","","LDH-ZEF68X","Litedeer","Litedeer Homes Latitude II 68 Inch Seamless Push-in Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","LDH-ZEF68XS","Litedeer","Litedeer Homes Gloria II 68 Inch Seamless Push-in Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","LDH-ZEF48X","Litedeer","Litedeer Homes Latitude II 48 Inch Seamless Push-in Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","LDH-ZEF75V","Litedeer","Litedeer Homes Latitude 75 Inch Ultra Slim Built-in Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","LDH-ZEF35A","Litedeer","Litedeer Homes 35 Inch Litestar Smart Electric Fireplace Insert with Breathing Oak Logs (Modern)"
"electric-fireplaces-scraped.json","","LDH-ZEF48XS","Litedeer","Litedeer Homes Gloria II 48 Inch Seamless Push-in Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","LDH-ZEF78VS","Litedeer","Litedeer Homes Gloria II 78 Inch Seamless Push-in Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","LDH-ZEF78VC","Litedeer","Litedeer Homes 78 Inch Latitude II Push-In Linear Electric Fireplace with Fire Media"
"electric-fireplaces-scraped.json","","LDH-ZEF55V","Litedeer","Litedeer Homes Latitude 55 Inch Ultra Slim Built-in Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","LDH-ZEF58VS","Litedeer","Litedeer Homes Gloria II 58 Inch Seamless Push-in Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","LDH-ZEF75VC","Litedeer","Litedeer Homes 75 Inch Latitude Built-In Linear Electric Fireplace with Fire Media"
"electric-fireplaces-scraped.json","","REM-102765-XT","Remii","Remii 65 Inch Extra Tall Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","REM-102765-DE","Remii","Remii 65 Inch Deep Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","REM-40-BAY-SLIM","Remii","Remii Smart Built-In Bay Front Slim 40 Electric Fireplace"
"electric-fireplaces-scraped.json","","REM-CLASSIC-SLIM-30","Remii","Remii Classic Slim 30 Smart Electric Fireplace"
"electric-fireplaces-scraped.json","","REM-60-BAY-SLIM","Remii","Remii Smart Built-In Bay Front Slim 60 Electric Fireplace"
"electric-fireplaces-scraped.json","","REM-102745-DE","Remii","Remii 45 Inch Deep Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","CMB-CAM35WMEF-2WHT","Cambridge","Cambridge 35 Inch Castillo Curved Wall Mount Electric Fireplace with Logs"
"electric-fireplaces-scraped.json","","CMB-CAM78WMEF-1WHT","Cambridge","Cambridge 78 Inch Color-Changing Wall Mount Linear Electric Fireplace"
"electric-fireplaces-scraped.json","","CMB-CAM42RECWMEF-2BLK","Cambridge","Cambridge 42 Inch Recessed or Wall Mount Electric Fireplace with Logs"
"electric-fireplaces-scraped.json","","CMB-CAM60RECWMEF-1BLK","Cambridge","Cambridge 60 Inch Recessed or Wall Mount Electric Fireplace with Crystals"
