category_file,category,sku,brand,name,slug,current_image_url,product_url
gas-fireplaces-scraped.json,gas-fireplaces,MAJ-QUARTZPLA36IL,Majestic,Majestic Quartz 36 Inch Quartz Platinum Top/Rear Direct Vent Gas Fireplace with IntelliFire Touch,maj-quartzpla36il,/products/gas-fireplaces/maj-quartzpla36il-5660ca54.webp,https://www.efireplacestore.com/maj-quartzpla36il.html
gas-fireplaces-scraped.json,gas-fireplaces,SUP-DRL3555TEN,Superior,Superior 55 Inch DRL3500 Series Contemporary Linear Direct Vent Natural Gas Fireplace,sup-drl3555ten,/products/gas-fireplaces/sup-drl3555ten-e282025e.webp,https://www.efireplacestore.com/sup-drl3555ten.html
gas-fireplaces-scraped.json,gas-fireplaces,EMP-VFPA32BP30LN,Empire,Empire 32 Inch Vail Vent Free Gas Fireplace - Millivolt Pilot,emp-vfpa32bp30ln,/products/gas-fireplaces/emp-vfpa32bp30ln-8b478936.webp,https://www.efireplacestore.com/emp-vfpa32bp30ln.html
gas-fireplaces-scraped.json,gas-fireplaces,BSC-NV-42ZCBBXL-OLP,Buck,Buck Stove Model 42ZCBBXL Vent Free Gas Fireplace with Oak Logs,bsc-nv-42zcbbxl-olp,/products/gas-fireplaces/bsc-nv-42zcbbxl-olp-5c87272e.webp,https://www.efireplacestore.com/bsc-nv-42zcbbxl-olp.html
gas-fireplaces-scraped.json,gas-fireplaces,CUI-DVD36FP31N,Empire,Empire DVD36FP31N Tahoe Deluxe Direct Vent Fireplace,cui-dvd36fp31n,/products/gas-fireplaces/cui-dvd36fp31n-200545f1.webp,https://www.efireplacestore.com/cui-dvd36fp31n.html
gas-fireplaces-scraped.json,gas-fireplaces,EMP-VFPA32BP31LN,Empire,Empire 32 Inch Vail Vent Free Gas Fireplace with Blower - Millivolt Pilot,emp-vfpa32bp31ln,/products/gas-fireplaces/emp-vfpa32bp31ln-8b478936.webp,https://www.efireplacestore.com/emp-vfpa32bp31ln.html
gas-fireplaces-scraped.json,gas-fireplaces,SUP-DRL4060TEN-B,Superior,Superior 60 Inch DRL4060 Direct Vent Linear Gas Fireplace,sup-drl4060ten-b,/products/gas-fireplaces/sup-drl4060ten-b-54a6106a.webp,https://www.efireplacestore.com/sup-drl4060ten-b.html
gas-fireplaces-scraped.json,gas-fireplaces,EMP-DVP48FP71N,Empire,Empire 48 Inch Premium Tahoe Direct Vent Fireplace with Blower - Intermittent Pilot,emp-dvp48fp71n,/products/gas-fireplaces/emp-dvp48fp71n-31a7279a.webp,https://www.efireplacestore.com/emp-dvp48fp71n.html
gas-fireplaces-scraped.json,gas-fireplaces,CUI-VFP24FP70L10N,Empire,Empire 24 Inch Vail Vent Free Gas Fireplace - Intermittent Pilot,cui-vfp24fp70l10n,/products/gas-fireplaces/cui-vfp24fp70l10n-cf813669.webp,https://www.efireplacestore.com/cui-vfp24fp70l10n.html
gas-fireplaces-scraped.json,gas-fireplaces,EMP-VFPA36BP70LN,Empire,Empire 36 Inch Vail Vent Free Gas Fireplace - Intermittent Pilot,emp-vfpa36bp70ln,/products/gas-fireplaces/emp-vfpa36bp70ln-8b478936.webp,https://www.efireplacestore.com/emp-vfpa36bp70ln.html
gas-fireplaces-scraped.json,gas-fireplaces,KGM-HBZDV4224N,Kingsman,Kingsman 42 Inch HBZDV4224 Direct Vent Gas Fireplace,kgm-hbzdv4224n,/products/gas-fireplaces/kgm-hbzdv4224n-ab01536a.webp,https://www.efireplacestore.com/kgm-hbzdv4224n.html
gas-fireplaces-scraped.json,gas-fireplaces,CUI-VFD26FP70L10N,Empire,Empire 26 Inch Vail Vent Free Gas Fireplace - Intermittent Pilot,cui-vfd26fp70l10n,/products/gas-fireplaces/cui-vfd26fp70l10n-ec0b79b6.webp,https://www.efireplacestore.com/cui-vfd26fp70l10n.html
gas-fireplaces-scraped.json,gas-fireplaces,MON-AVFL48NIF,Monessen,Monessen 48 Inch Artisan Vent Free Linear Gas Fireplace,mon-avfl48nif,/products/gas-fireplaces/mon-avfl48nif-8b2bb017.webp,https://www.efireplacestore.com/mon-avfl48nif.html
gas-fireplaces-scraped.json,gas-fireplaces,FRK-01FR0642,FireRock,FireRock 42 Inch Vent Free Lite Masonry Gas Fireplace,frk-01fr0642,/products/gas-fireplaces/frk-01fr0642-ead977c4.webp,https://www.efireplacestore.com/frk-01fr0642.html
gas-fireplaces-scraped.json,gas-fireplaces,CUI-DVCD36FP30,Empire,Empire Tahoe Deluxe Clean Face Direct Vent Gas Fireplace with Remote-Ready Millivolt Controls - 36 Inch,cui-dvcd36fp30,/products/gas-fireplaces/cui-dvcd36fp30-d3e9de82.webp,https://www.efireplacestore.com/cui-dvcd36fp30.html
gas-fireplaces-scraped.json,gas-fireplaces,CUI-VFD42FB0L,Empire,Empire 42 Inch Breckenridge Deluxe Vent Free Louvered Gas Fireplace Firebox,cui-vfd42fb0l,/products/gas-fireplaces/cui-vfd42fb0l-23df0518.webp,https://www.efireplacestore.com/cui-vfd42fb0l.html
gas-fireplaces-scraped.json,gas-fireplaces,EMP-OP42FB2MF,Empire,Empire 42 Inch Carol Rose Outdoor Premium Fireplace Firebox with Flush Front and Refractory Liner,emp-op42fb2mf,/products/gas-fireplaces/emp-op42fb2mf-f516598b.webp,https://www.efireplacestore.com/emp-op42fb2mf.html
gas-fireplaces-scraped.json,gas-fireplaces,CUI-DVD32FP70N,Empire,Empire DVD32FP70N Tahoe Deluxe Direct Vent Fireplace,cui-dvd32fp70n,/products/gas-fireplaces/cui-dvd32fp70n-200545f1.webp,https://www.efireplacestore.com/cui-dvd32fp70n.html
gas-fireplaces-scraped.json,gas-fireplaces,MON-BUF32A,Monessen,Monessen 32 Inch Exacta Circulating Clean Face Vent Free Gas Fireplace Firebox,mon-buf32a,/products/gas-fireplaces/mon-buf32a-067f7514.webp,https://www.efireplacestore.com/mon-buf32a.html
gas-fireplaces-scraped.json,gas-fireplaces,KGM-HBZDV3624N,Kingsman,Kingsman 36 Inch HBZDV3624 Direct Vent Gas Fireplace,kgm-hbzdv3624n,/products/gas-fireplaces/kgm-hbzdv3624n-ab01536a.webp,https://www.efireplacestore.com/kgm-hbzdv3624n.html
gas-fireplaces-scraped.json,gas-fireplaces,CUI-DVP42FP30N,Empire,Empire 42 Inch Tahoe Premium Direct Vent Fireplace - Millivolt,cui-dvp42fp30n,/products/gas-fireplaces/cui-dvp42fp30n-06609424.webp,https://www.efireplacestore.com/cui-dvp42fp30n.html
gas-fireplaces-scraped.json,gas-fireplaces,EMP-VFPC20IN73N,Empire,Empire 28 Inch Innsbrook Vent Free Gas Fireplace Insert/Fireplace - Intermittent Pilot (Modern),emp-vfpc20in73n,/products/gas-fireplaces/emp-vfpc20in73n-828d69ec.webp,https://www.efireplacestore.com/emp-vfpc20in73n.html
gas-fireplaces-scraped.json,gas-fireplaces,NPL-BLP42NTE,Napoleon,Napoleon 42 Inch Ascent Premium Direct Vent Linear Gas Fireplace,npl-blp42nte,/products/gas-fireplaces/npl-blp42nte-4c94487c.webp,https://www.efireplacestore.com/npl-blp42nte.html
gas-fireplaces-scraped.json,gas-fireplaces,EMP-EMBC11SUH-VFD26FP70L10N,Empire,Empire Corner Cabinet Mantel with Base and 26 Inch Vail Vent Free Gas Fireplace- Intermittent Pilot,emp-embc11suh-vfd26fp70l10n,/products/gas-fireplaces/emp-embc11suh-vfd26fp70l10n-ca03f511.webp,https://www.efireplacestore.com/emp-embc11suh-vfd26fp70l10n.html
gas-fireplaces-scraped.json,gas-fireplaces,FGO-OFP-72LECO-NLED,Firegear,Firegear 72 Inch Kalea Bay Outdoor Linear Fireplace with LED Lights,fgo-ofp-72leco-nled,/products/gas-fireplaces/fgo-ofp-72leco-nled-3a71ed30.webp,https://www.efireplacestore.com/fgo-ofp-72leco-nled.html
gas-fireplaces-scraped.json,gas-fireplaces,EMP-VFLB36FP90N,Empire,Empire 36 Inch Boulevard Linear Vent Free Gas Fireplace - Intermittent Pilot,emp-vflb36fp90n,/products/gas-fireplaces/emp-vflb36fp90n-161f69c2.webp,https://www.efireplacestore.com/emp-vflb36fp90n.html
gas-fireplaces-scraped.json,gas-fireplaces,NPL-B30NTRE,Napoleon,Napoleon B30 Ascent Builder Series 30 Inch Direct Vent Fireplace - Electronic Ignition,npl-b30ntre,/products/gas-fireplaces/npl-b30ntre-d695cb65.webp,https://www.efireplacestore.com/npl-b30ntre.html
gas-fireplaces-scraped.json,gas-fireplaces,BSC-NV-3844LP-DOORS,Buck,Buck Stove Model 384 Vent Free Gas Heating Stove,bsc-nv-3844lp-doors,/products/gas-fireplaces/bsc-nv-3844lp-doors-cdefbc04.webp,https://www.efireplacestore.com/bsc-nv-3844lp-doors.html
gas-fireplaces-scraped.json,gas-fireplaces,EMP-VFPA36BP30LN,Empire,Empire 36 Inch Vail Vent Free Gas Fireplace - Millivolt Pilot,emp-vfpa36bp30ln,/products/gas-fireplaces/emp-vfpa36bp30ln-8b478936.webp,https://www.efireplacestore.com/emp-vfpa36bp30ln.html
